band,age,ncat,frac17,last
14-17,15.5,12.370774263904035,0.9173164061555767,17.336150490730642
18-20,19.0,12.355398457583547,0.8850569051135057,18.666131105398456
21-24,22.5,12.60888252148997,0.7970830553256446,20.093361986628462
25-28,26.5,12.843253066787824,0.74117765810463,21.098591549295776
29-32,30.5,12.926516157591855,0.6835337661156544,22.648738379814077
