S,stat,n,raw,matched,bal,boot
多选 S,z_resid,8544,0.03994506027250554,0.038310836818153796,0.0,0.010237289239526277
多选 S,rho,8544,-0.05646144736232889,-0.04852241367675387,0.0,0.011047438737793777
强制选择 S_fc,z_resid,6593,0.025368519898745903,0.0223322982067425,0.0,0.012506993920474517
强制选择 S_fc,rho,6593,-0.037529422255266474,-0.03065768964448843,0.0,0.010784035646826286
