v_row,位置分 S,跨块对比 D,c1,c2,c3,剖面清晰度
位置分 S,0.23725994167775455,-0.0020031936523873806,0.03725373308412708,-0.10820229755020351,-0.011896156105069139,0.06352795161347916
跨块对比 D,0.017153623147538516,0.005704081331294408,0.008523358420375327,-0.19078043672510053,-0.03880934320682186,0.013785887707917891
c1,0.0141883177436396,0.00031793042163441587,0.04824209918196132,-0.4163630488739505,-0.09766341643538479,0.0006851272882133323
c2,-0.004768932701426226,0.0032514907124941636,0.20486737471430772,0.13803581342274307,0.05623262000497713,-0.007969379528640241
c3,0.01168940186283654,0.003049006980738081,0.09228920077960834,-0.2553441859899691,0.018541894951179305,-0.008222469321381239
剖面清晰度,0.05222289923757947,0.003475804816670463,0.011514296336186065,-0.021900511468752028,-0.007584258549787762,0.36391096726995986
