q,v
稳方向 体液 |z| 中位,1.7812574851523544
稳方向 |z| 区间 2.5%,0.5847901903454005
稳方向 |z| 区间 97.5%,4.0217000492014
脆方向 体液 |z| 中位,4.345642856874575
脆方向 |z| 区间 2.5%,2.4585489360659567
脆方向 |z| 区间 97.5%,4.752932336007395
稳方向两两|r| 中位,0.8593406949451017
脆方向两两|r| 中位,0.8585715544533521
