outcome,n,S(位置),Cres(内容),rho_i(何时),sd_S(位置),sd_Cres(内容),sd_rho_i(何时)
animated,6414,0.07195844438286031,-0.10352656894012402,-0.07222671595154044,0.012034608751574683,0.013391299880902312,0.011990459850682086
written,6413,0.0023691911905410123,-0.0600370139219178,-0.031814909056418185,0.012610498318344513,0.011560522634318888,0.013450741852650739
