arm,d_early,d_match,gap,n_early
原始,-0.14065324429836232,0.03364235566819584,-0.17429559996655816,2806
评分调整,-0.1413325298807601,0.03227113923405636,-0.17360366911481645,2509
原始_交集,-0.1377266036791862,0.05278726770140475,-0.19051387138059095,2637
调整_交集,-0.14164604905809025,0.04184353159777216,-0.1834895806558624,2506
