model,r,sd,ratio
raw,0.02701221957198937,0.009336186663362205,2.8932818661384347
+类别数,0.027829046908645887,0.009792535841115054,2.8418631660047167
+斜率 SE,0.03171333669530774,0.00944884852872413,3.3563176083202557
+斜率,0.08920146509044756,0.009639669499106648,9.25358126631979
