model,n,r,sd,ratio
raw,10567,0.004020898241051141,0.009155290979202119,0.4391884703812616
+类别数,10567,-0.005403689343840402,0.009514815574016932,0.5679237082216078
+斜率 SE,10567,-0.013614362457969672,0.009424649830547529,1.4445483601780398
+截距,10567,0.0845116849153788,0.00913938417002174,9.246978061452666
