seed,onset_to_pref,onset_to_pref_null,pref_to_pref_POSCTRL,onset_to_onset
1,0.013704455822077355,-0.004260556305103469,0.04308686563739417,0.05056779225950736
2,0.013564555015356805,-0.0050047089842693016,0.03234541562243076,0.03775842999589807
3,0.012443397238027343,-0.002351816132302842,0.046535288076400505,0.05097473792206619
4,0.01097203266296487,-0.0038473170337660623,0.043626405287926495,0.06165806310103983
5,0.01483254312830895,-0.005952454798429319,0.05052163932779241,0.0553206285555613
