q,world,est,arm,seed,brier_I,brier_P,brier_C,brier_W,brier_full,logloss_I,logloss_P,logloss_C,logloss_W,logloss_full,l1_I,l1_P,l1_C,l1_W,l1_full
1,real,ls,real,11,0.24040845260315313,0.09596961501180402,0.005391294011696607,-0.09815281167688578,0.243616549949768,0.2194429904969272,0.07129765902393433,0.003098166668380494,-0.3670976697848783,-0.07325885359563622,0.2175096509152683,0.10529221805100611,0.006025228702594078,0.06561556229689627,0.3944426599657648
1,real,ls,perm,11,0.2408881613815254,0.09550899961565347,0.00010484892655010512,-0.09556629687255778,0.24093571305117123,0.2171672319820818,0.07049669517742718,4.2604453849913e-05,-0.3637904767859237,-0.07608394517256478,0.21820599538332175,0.10526995424537773,0.0001674644651090869,0.06711247600345505,0.39075589009726364
1,real,ls,real,29,0.23878378503463796,0.09280768412655876,0.0058438947754850075,-0.10107778576170116,0.2363575781749806,0.2185351479306711,0.06833511517783333,0.002805613962631237,-0.3782803827714013,-0.08860450570026557,0.21655679346821044,0.10439383187780732,0.0060442404964501555,0.0648740235791089,0.3918688894215768
1,real,ls,perm,29,0.23847370814659977,0.09226004489762356,0.00019398380015221245,-0.09873559110237623,0.2321921457419993,0.2153142881610572,0.06923601865499195,0.0003009326883384086,-0.37487478860005663,-0.09002354909566912,0.217190880036695,0.1042789286818941,0.0001473361805927146,0.06636873799751972,0.38798588289670155
1,real,ls,real,47,0.24156618939440652,0.08815252934784584,0.003811638108884981,-0.09934635901428694,0.2341839978368504,0.2208627127669137,0.06198228739589756,0.0015418617045806864,-0.3706185649621249,-0.08623170309473305,0.2169128642855254,0.10079814356103386,0.005199171303181935,0.06551077228277521,0.3884209514325164
1,real,ls,perm,47,0.24138179387033432,0.08783306227873593,-4.614202255266246e-05,-0.09709979027281505,0.2320689238537026,0.21928089556485195,0.061344875904438795,-0.00030353815682140906,-0.3682616010839068,-0.08793936777143752,0.21747502673075414,0.10071247647928334,-1.1416815068073422e-05,0.06684497801653462,0.3850210644115041
1,real,logit,real,11,0.2085166679236533,0.07867647513448356,0.05758709079772233,,0.3447802338558592,0.17550771871322904,0.06422690627912589,0.04551857549184283,,0.2852532004841978,0.20176715979476806,0.10831004563726399,0.04759287641472289,,0.357670081846755
1,real,logit,perm,11,0.2094559840648012,0.07854561956068556,0.049387303026719453,,0.3373889066522062,0.17497256895521182,0.06458147347966361,0.037998717218111856,,0.2775527596529873,0.2034337864111722,0.10824108736421803,0.039966173451657844,,0.35164104722704814
1,real,logit,real,29,0.20672409332967284,0.07531143928926909,0.05755540198725789,,0.3395909346061998,0.17427447428753576,0.060600828676655984,0.04552475467670207,,0.2804000576408938,0.2005006463041582,0.10707056017984712,0.04737568839715546,,0.3549468948811608
1,real,logit,perm,29,0.20694387891507543,0.0751519415624714,0.049442651430358586,,0.3315384719079054,0.17308070515817087,0.06094538825338515,0.03796979593396884,,0.2719958893455249,0.20193957940033225,0.10691882463211311,0.03985100854492636,,0.34870941257737176
1,real,logit,real,47,0.2090777232065127,0.06969888840283679,0.05561123254167423,,0.33438784415102374,0.17648035201452933,0.05601102126600328,0.04376162056245055,,0.2762529938429832,0.20138183337919907,0.10352428875513585,0.04646968264244239,,0.3513758047767773
1,real,logit,perm,47,0.20906336701873948,0.06956577612764044,0.04981622291453221,,0.3284453660609121,0.17539612843706198,0.05630870246654279,0.03839071801021826,,0.27009554891382304,0.2027601540750281,0.1034142469329743,0.039995908313382504,,0.34617030932138493
4,real,ls,real,11,0.2505480573646545,0.05163969696872074,0.00524159698239172,-0.01681848228320685,0.29061086903256017,0.26887038869450064,0.03161413188099123,0.005414419443523684,-0.32489690043049346,-0.018997960411477832,0.2448047023390907,0.06715137529496937,0.003597623648880388,0.11138402170071705,0.4269377229836575
4,real,ls,perm,11,0.2497223886302301,0.05099389961528894,-0.0004913901272752264,-0.015267428518852896,0.28495746959939094,0.2675942736040603,0.03246848267369332,-0.0013675874625974451,-0.32606837965450824,-0.02737321083935207,0.24528453618525392,0.06709177774700209,2.089345153896694e-05,0.11237066809062318,0.4247678754744182
4,real,ls,real,29,0.2473529851335925,0.04604602971430466,0.004659650262882416,-0.028774224825754185,0.2692844402850254,0.2567694675660771,0.020063537316830436,0.004256955921743466,-0.3470562760986974,-0.0659663152940464,0.24402259632283718,0.06684523198084658,0.004426601520279794,0.10005895985191965,0.4153533896758832
4,real,ls,perm,29,0.2474504817852341,0.04634481223419423,-2.001959769746632e-05,-0.029252885999103435,0.26452238842262743,0.2567552791137894,0.020967101971106968,0.001349333062059745,-0.34395753913703936,-0.06488582499008322,0.24441790882485223,0.06683542504191953,0.00034510481452670877,0.10040984834517484,0.4120082870264733
4,real,ls,real,47,0.2653532839861906,0.036415076254553674,0.003045689484450303,-0.04281599498612147,0.2619980547390731,0.27835241160158414,0.014197893985599563,-0.0015017129949741657,-0.3609597926169592,-0.06991120002474971,0.25261376222996507,0.057834778596368354,0.0035990262667688344,0.09525443860865253,0.4093020057017548
4,real,ls,perm,47,0.26580491673241285,0.03573950188161285,-0.0007528152227489944,-0.04234881589421777,0.25844278749705896,0.2793333016274526,0.015611723999041167,-0.0013925725650132021,-0.3558607403586433,-0.06230828729716276,0.2532585334157661,0.05773409818093513,-5.939215420007933e-05,0.09584617890691241,0.40677941834941356
4,real,logit,real,11,0.2430303266903071,0.026152308892903448,0.05669022130314434,,0.3258728568863549,0.2159684588862106,0.018176731120080426,0.04937788484264675,,0.2835230748489378,0.2318475339382855,0.06680842638939784,0.06192183422646415,,0.3605777945541475
4,real,logit,perm,11,0.2417925122316829,0.024486585278154283,0.04871745504486918,,0.3149965525547064,0.21457815597474972,0.017731492928665677,0.04127224287341892,,0.27358189177683434,0.23265429947060876,0.06567063301664902,0.057457773651658585,,0.3557827061389164
4,real,logit,real,29,0.23563228890175872,0.018614615755310576,0.050296806211597635,,0.30454371086866694,0.2051790442480998,0.006768523832901976,0.043852431615737576,,0.2557999996967394,0.22945812517184722,0.06427836648144648,0.060845380041893785,,0.3545818716951875
4,real,logit,perm,29,0.23547345260232758,0.018740117005974905,0.046194445392456505,,0.300408015000759,0.20433161193802674,0.007361016237852808,0.038300489184507416,,0.24999311736038698,0.23043090379139824,0.06380421552015421,0.05741138967226096,,0.35164650898381344
4,real,logit,real,47,0.25725079221761327,0.012238282679703763,0.05595963470097718,,0.3254487095982942,0.23112037130873977,0.0024516598922228842,0.049667486252404504,,0.2832395174533672,0.23965131321882063,0.05877862261505976,0.06289449047512732,,0.36132442630900774
4,real,logit,perm,47,0.25838753764572014,0.010417121392805262,0.050467021946706436,,0.31927168098523184,0.23097743042621735,0.0016161939683987572,0.04320401177889074,,0.27579763617350683,0.2409708411515438,0.057691809884748514,0.058757409330977256,,0.3574200603672696
7,real,ls,real,11,0.09500141203562235,0.13242699739381542,0.01468087095644807,-0.06312462046152176,0.17898465992436408,0.10642787856210567,0.10346315461408201,0.00922695086142967,-0.45561434187188943,-0.23649635783427203,0.08161495893517574,0.1513933235327895,0.01614416199956975,0.1203708383596024,0.3695232828271374
7,real,ls,perm,11,0.09510042792442233,0.13172767598620833,-1.631746830262533e-05,-0.05352392798524776,0.17328785845708028,0.1050457684559819,0.0975524625438479,-0.00023235461903826438,-0.45313739608741666,-0.25077151970662515,0.08177500035589455,0.15214872708565783,0.0008954343220625807,0.12420005096900841,0.3590192127326234
7,real,ls,real,29,0.08241107740720091,0.1329700508321582,0.019820134622460083,-0.08116710335706025,0.15403415950475896,0.08043370439654302,0.11400849639628084,0.009244471699407349,-0.5063708803859268,-0.30268420789369554,0.07108791017896414,0.1464244062901503,0.01884594368191498,0.11866146592543426,0.3550197260764637
7,real,ls,perm,29,0.08175325274629598,0.13194360952510448,0.00027184273478433885,-0.07235759697400221,0.14161110803218258,0.07860642590363012,0.11539243862132455,0.0005693863333953164,-0.4959126873206188,-0.3013444364622688,0.07078185104612983,0.14730538549130323,0.0007829854995419865,0.12249161815456154,0.3413618401915366
