outcome,n,S(位置),Cres(内容),rho_i(何时),sd_S(位置),sd_Cres(内容),sd_rho_i(何时),R2
性成熟未成年,6638,0.08924022983505947,-0.02070530885589902,-0.07972132930212741,0.010892516920682629,0.013439844809030375,0.01106853387640556,0.0312091577811765
羞耻,6639,0.11154431618043538,0.006766853364479114,-0.03876066826050413,0.012181388740380985,0.013369046592398478,0.013076875734201934,0.01640018319486003
animated,6414,0.07195844438286031,-0.10352656894012402,-0.07222671595154044,0.013565589642333621,0.012848235208350704,0.012603795171203119,0.030204205032322462
【正对照】三者之和,6639,0.3740296650439847,0.4351823494147208,0.44981230594336624,0.010763138648722045,0.009354069172169143,0.008587249582850667,0.44837567087475116
【负对照】只由 S 造,6639,0.35177994667087265,0.011485947938061312,-0.00618114697501072,0.010942845843999295,0.012198860731180953,0.012806546633720025,0.19208437535837353
