arm,keep,n,r_u,sd_u,r_rho
全部起始年龄,9944,9944,0.18176459989943194,0.01026670705712477,0.15321693750745766
仅 onset ≤ 14,2806,2806,0.022029097743836993,0.019091296809225323,-0.07406009597747361
