v_int,t,p_ind,p_fw,thr
S × c3⁻,-0.8867033407840447,0.397,0.769,2.465048950548947
S × EARLY,-3.3573491584008677,0.001,0.004,2.465048950548947
c3⁻ × EARLY,0.31334232225286507,0.75,0.987,2.465048950548947
