q,Kw,seed,arm,n,m,full,I,P,C,W
73,1,47,real,2386,20,0.37033050358625874,0.23194742826139164,0.0917486801143168,0.020487061786093098,0.026147333424457173
73,1,47,perm,2386,20,0.36250909012331156,0.23369967775989178,0.09128290212335041,-0.0006734787792275579,0.0381999890192969
77,0,11,real,5045,21,0.4205282844721986,0.2771667229390623,0.10297093080530342,0.04039063072783281,0.0
77,0,11,perm,5045,21,0.3792974274994131,0.2780753291745288,0.10132445224694375,-0.00010235392205948379,0.0
77,0,29,real,5045,21,0.4252473315750136,0.26875399825136503,0.11580272018714222,0.04069061313650635,0.0
77,0,29,perm,5045,21,0.38337946906910725,0.2687992396936305,0.11549575127065814,-0.0009155218951814037,0.0
77,0,47,real,5045,21,0.42711719651653746,0.27986678919611163,0.10619552115920963,0.041054886161216206,0.0
77,0,47,perm,5045,21,0.3856334135050805,0.28140350546006354,0.10522031246603979,-0.000990404421022828,0.0
77,1,11,real,5045,21,0.4176328596139821,0.2754901510265647,0.1099713724636616,0.023223366637568795,0.008947969486186976
77,1,11,perm,5045,21,0.41012194429517335,0.2767363465116674,0.1072971030241299,-6.454636956720883e-05,0.026153041128943268
77,1,29,real,5045,21,0.4218238286984335,0.2659014635246977,0.12018941914956487,0.023394295063842625,0.012338650960328268
77,1,29,perm,5045,21,0.4136834643525975,0.2665711875073705,0.11847815375984078,-0.0009581839213936202,0.029592307006779773
77,1,47,real,5045,21,0.4235687270842291,0.27793376219449084,0.11294122236361348,0.02315453023691529,0.009539212289209507
77,1,47,perm,5045,21,0.4164362825103134,0.2791556763017716,0.11068025421821358,-0.000914810322102555,0.027515162312430688
83,0,11,real,1604,10,0.2355907406217822,0.08975508851403674,0.06410128537523352,0.08173436673251194,0.0
83,0,11,perm,1604,10,0.13604580732177218,0.09157216669584055,0.049689631035820116,-0.005215990409888478,0.0
83,0,29,real,1604,10,0.23092891844351027,0.08644371539000108,0.05111633755150326,0.09336886550200592,0.0
83,0,29,perm,1604,10,0.12257317411167845,0.0853628245363838,0.03616177814453211,0.0010485714307625533,0.0
83,0,47,real,1604,10,0.2352514989042691,0.08563877233774872,0.0780176266838288,0.07159509988269155,0.0
83,0,47,perm,1604,10,0.1518648471439804,0.08621836081130087,0.0692055579377456,-0.003559071605066059,0.0
83,1,11,real,1604,10,0.27100207710787727,0.08900206068259828,0.08426008955897896,0.03120200518392688,0.06653792168237313
83,1,11,perm,1604,10,0.27482296509959436,0.09155909179858732,0.06932662878042761,-0.004174514560133624,0.11811175908071304
83,1,29,real,1604,10,0.2861524051637395,0.08786604188260083,0.07725263963374386,0.04190978871701319,0.07912393493038163
83,1,29,perm,1604,10,0.2810953563600864,0.08702875157954279,0.06245387266189535,0.0010391459170182398,0.13057358620163007
83,1,47,real,1604,10,0.28559029628649335,0.08399777787713078,0.09578135936984455,0.027189032587175265,0.07862212645234275
83,1,47,perm,1604,10,0.2925054529100547,0.08586474571992656,0.08658560604722332,-0.003266082105010152,0.12332118324791494
85,0,11,real,2190,22,0.38139178483826475,0.2679969942369769,0.0968092342197368,0.016585556381551014,0.0
85,0,11,perm,2190,22,0.36618322407313597,0.26941638455191363,0.09700739163272193,-0.0002405521114995923,0.0
85,0,29,real,2190,22,0.3939611429244585,0.2707719873114288,0.10462126880030734,0.018567886812722346,0.0
85,0,29,perm,2190,22,0.37486607563700536,0.2711716418269398,0.10542882508565196,-0.0017343912755864073,0.0
85,0,47,real,2190,22,0.369663399685068,0.2564007958061727,0.09647487700057207,0.01678772687832327,0.0
85,0,47,perm,2190,22,0.35189778800136406,0.2572451297288372,0.09608173633147295,-0.0014290780589460799,0.0
85,1,11,real,2190,22,0.3891905131686363,0.25861234106345266,0.09762945049358601,0.011496665963946107,0.021452055647651513
85,1,11,perm,2190,22,0.3828588892783584,0.25948961187462205,0.09682554342122761,-0.0001188820971236293,0.02666261607963238
85,1,29,real,2190,22,0.40926099816699624,0.26311273862174095,0.10438860809736326,0.014636437894837281,0.027123213553054765
85,1,29,perm,2190,22,0.39623555432124546,0.26269976348180424,0.10430085218509305,-0.0017770575460890243,0.031011996200437215
85,1,47,real,2190,22,0.3795880034992243,0.2470434732655882,0.09827070377419792,0.011939564737064978,0.02233426172237318
85,1,47,perm,2190,22,0.3694403266239392,0.24697361972207474,0.09689418173755115,-0.0015194883791321185,0.027092013543445433
90,0,11,real,3701,10,0.39533295827868853,0.32855217890012706,0.06205181566853869,0.004728963710022756,0.0
90,0,11,perm,3701,10,0.38939079205623617,0.3302641342864957,0.061068624529784114,-0.0019419667600437118,0.0
