seed,world,n,p50,p90,p95,p99,s90,s95,s99
1,real,9175,0.6998812830689709,0.8893020771580599,0.9519626504339482,1.070611356338061,0.9579240884263099,1.274806259806843,1.8748272553513097
1,cb,9175,0.7029065657187947,0.8557171674522416,0.8974218312087026,0.986605764494409,0.9247311431057129,1.1771063117842773,1.7168015923369473
1,M0,9175,0.7080434759951781,0.8761123812575539,0.9503373776841694,1.8021615695886644,0.97837912550342,1.4104649237716822,6.369187101780332
1,M1,9175,0.7113686761061604,0.89783166293052,1.3873719049189712,1.8417769821742875,1.0519733207568995,3.8138258620004883,6.377455385640736
1,M2,9175,0.7113686761061604,0.89783166293052,1.3983410227621969,1.906441893679898,1.0519733207568995,3.8757106334494265,6.7422771813844955
1,M3,9175,0.715030471190116,0.9483439240676064,1.5808308952353682,1.9451351397133465,1.2622258932366461,4.68398071404403,6.654866853376809
1,M4,9175,0.7178024253418014,1.142330765784461,1.4204747778103926,1.7235789519656135,2.232528074153963,3.6952438845006275,5.289221279482534
1,M5,9175,0.7288518186293962,1.3574284015443274,1.510301450708953,1.7818812381096798,2.953652775577827,3.6719962809661753,4.948137350566843
1,G0,9175,0.7150637146587994,0.9330515055351589,1.0733167945175206,1.3145090621071467,1.1835829010686902,1.945164992366382,3.254738536102057
1,G1,9175,0.7497764538809045,1.182125613470714,1.3658317924445174,1.6964907395598252,1.5424310236989847,2.1978136083748145,3.3774588256297107
1,G2,9175,0.801795169655255,1.4061961162627088,1.5915537091362675,1.8911024016127922,1.424283360806037,1.8610823711496343,2.566975075058012
1,G3,9175,0.962693383205519,1.621983135130388,1.7712758552612735,2.0555922020439032,1.0936835248258363,1.3413424455156742,1.8129895527351816
1,G4,9175,1.1176902673324614,1.755418396370766,1.8977764219654918,2.1664927678257078,0.8454931104125313,1.0342298531900198,1.3904911011024466
2,real,9175,0.6998812830689709,0.8893020771580599,0.9519626504339482,1.070611356338061,0.9579240884263099,1.274806259806843,1.8748272553513097
2,cb,9175,0.7009441218282072,0.8538607248958135,0.8992226283365097,0.9855965780680108,0.9282864496552189,1.2036577268732318,1.7279942968106705
2,M0,9175,0.7043703022664247,0.8741374994383838,0.9478737408199783,1.7389015875626015,0.9960572894285248,1.4286822131280348,6.069797022197173
2,M1,9175,0.7086945635255636,0.8960259917495255,1.2244942321754222,1.8603246171506205,1.0700959861685302,2.9464097953141533,6.57847276145194
2,M2,9175,0.7086945635255636,0.8960259917495255,1.2321670036006767,1.8983662343677628,1.0700959861685302,2.9902390768329883,6.7957784334225595
2,M3,9175,0.7134409658134795,0.9469293531362022,1.5727799133771918,1.934983893599006,1.274587957268109,4.69103875501206,6.668271269908841
2,M4,9175,0.7172883944523852,1.1018832122379274,1.415778046502231,1.743210487383208,2.032150842327465,3.6907318277013763,5.420843830699428
2,M5,9175,0.727368156329044,1.3491950753879025,1.501804037591478,1.799919981535702,2.984020571057209,3.716359858060732,5.1469574761826635
2,G0,9175,0.7134510275215431,0.9325973169804925,1.072878034694575,1.33755033004852,1.1929043798693422,1.9565106585131349,3.397232019286782
2,G1,9175,0.747926918492341,1.1768141082583587,1.3613587913487015,1.6993554935590771,1.5263688469706553,2.18314587800496,3.3860440967980927
2,G2,9175,0.7966738694733658,1.3948206870827258,1.591925763251169,1.9033952923783064,1.3976951532795325,1.8582723920726778,2.586086096733348
2,G3,9175,0.9554055346951394,1.612482214885257,1.777809147767219,2.064420337244076,1.1004513062481989,1.377335640653923,1.8573430238925113
2,G4,9175,1.1124149886133843,1.7554292497957598,1.9003059850841368,2.1507049989706073,0.8715060369400824,1.0678639671418515,1.4072409692080754
3,real,9175,0.6998812830689709,0.8893020771580599,0.9519626504339482,1.070611356338061,0.9579240884263099,1.274806259806843,1.8748272553513097
