v_k,v_nested,v_disjoint
4,0.1715329734547053,0.12363996922907121
6,0.147705275928073,0.1674189119512542
8,0.11852284120046405,0.15109099092451728
10,0.08357498114090396,0.1466564096965668
12,0.07070236315697022,0.09497488242188178
16,-0.002302466335604759,0.07070236315697022
