v_term,v_val
R²,0.4522074632248977
块内平均流行度,-0.44984006685452954
块内选项数,-0.48572274557194556
流行度离散度,-0.34055417011967076
R²自助lo,0.26965762233931134
R²自助hi,0.5457596525052821
