quantity,lam_0_0,lam_0_25,lam_0_5,lam_0_75,lam_1_0
剖面清晰度,12.0,7.25,5.5,0.0,0.0
c1,11.0,2.875,4.375,0.0,0.0
c2,7.75,5.0,1.0,0.75,1.0
c3,17.5,14.25,3.375,1.0,0.0
