k,n_left,delta,sd,ratio
0,28,-0.2124895914446312,0.018775953355403833,5.658556650160068
2,26,-0.20940290270337714,0.020633184324862858,5.0744203949908
4,24,-0.15909537367458926,0.01122011035188323,7.089741931454624
6,22,-0.15054050278216036,0.02268304166619581,3.3183491217253405
8,20,-0.09660479159483881,0.06845982445087026,0.7055582772065578
10,18,-0.13822863141144393,0.024686531513741693,2.7996770492950644
12,16,-0.10197828290574817,0.02481074980676031,2.0551229547678087
