dropped,delta,sd
位置分 S,0.019501719847883625,0.09240283999640281
跨块对比 D,-0.060430245229898705,0.012954413389542873
c1,-0.11907444967528968,0.035003175589819774
c2,-0.0879799922153992,0.0442420836060832
c3,-0.29082392840395416,0.04025695303166861
剖面清晰度,-0.09761554681628404,0.025229022111651133
(基线),-0.13103439795673755,0.04075660557036254
