knob,base,max_delta,v_values
① 块覆盖阈值 cov>=,0.014061583819988732,0.0016741884746792612,1.41%·1.41%·1.57%
② 清晰度最小块数 need=,0.014061583819988732,0.0018896221088168241,1.41%·1.41%·1.60%
③ S 是否随块变化,0.014061583819988732,0.0006290850565651707,1.41%·1.34%
④ 选项劈分种子,0.014061583819988732,0.00027085246987484934,1.41%·1.43%·1.40%
⑤ 阈值重抽样次数(阴性对照:不该影响 R²),0.014061583819988732,0.0,1.41%·1.41%·1.41%
