v_a,v_b,v_r
恋物类别计数,性行为计数,0.261527498199485
ncat 起始类别数,性行为计数,0.351595220631547
性行为计数,COVB 块覆盖数,0.37811624602914623
性行为计数,PICKS 总勾选项数,0.5054881842823471
恋物类别计数,PICKS 总勾选项数,0.6235251302629179
恋物类别计数,COVB 块覆盖数,0.6299368285421373
ncat 起始类别数,恋物类别计数,0.7431934952420391
ncat 起始类别数,PICKS 总勾选项数,0.8256178970900606
ncat 起始类别数,COVB 块覆盖数,0.8461530708265084
COVB 块覆盖数,PICKS 总勾选项数,0.8599609288453082
