k,mode,n,sb,null,plant_pos,plant_con
4,random,6717,0.5620705421577838,0.017215616398149784,0.9831227329003326,0.9203955210214698
4,dissimilar,2920,0.4619119463499367,0.010582537336666822,0.9819933214626201,-0.03767546404052953
5,random,4297,0.5993693394977215,0.00256200717872618,0.9861072109208321,0.9280796671434235
5,dissimilar,1874,0.4982416749188356,0.04608011002869328,0.9864099020944416,0.016284410616906685
6,random,2670,0.6305298009640187,0.015704757361041835,0.988579702113149,0.9318893012883185
6,dissimilar,1166,0.5575888479819099,0.02265264018958572,0.988034297629154,-0.04206698849731967
