v_page,v_kind,v_plo,v_phi,v_ilo,v_ihi,v_ok,v_src
README.md,SB,0.3795,0.3805,0.379845,0.379977,True,reliability is only **0.380** (`animated`↔`written` = **+0.2345**
README.md,CI-lo,-0.0245,-0.0235,-0.024043,-0.023837,True,"**−0.00042** (se 0.0120, 95% CI [−0.024, +0.023]"
README.md,CI-hi,0.0225,0.0235,0.022997,0.023203,True,"**−0.00042** (se 0.0120, 95% CI [−0.024, +0.023]"
README.md,sd,38.85,38.949999999999996,38.666667,39.880597,True,**+0.2219** (median +0.2532; **77.1%** of people positive) against an offset null of **+0.0884 ± 0.0
README_zh.md,SB,0.3795,0.3805,0.379845,0.379977,True,信度只有 **0.380**(`animated`↔`written` = **+0.2345**
README_zh.md,CI-lo,-0.0245,-0.0235,-0.024043,-0.023837,True,"**−0.00042**(se 0.0120,95% CI [−0.024, +0.023]"
README_zh.md,CI-hi,0.0225,0.0235,0.022997,0.023203,True,"**−0.00042**(se 0.0120,95% CI [−0.024, +0.023]"
README_zh.md,sd,38.85,38.949999999999996,38.666667,39.880597,True,"**+0.2219**(中位 +0.2532;**77.1%** 的人为正),对着 offset 零 **+0.0884 ± 0.0034** —— **+38.9 sd**"
