ptype,ndraw,reps,real,real_se,plant,null
strat,1,5,0.022889248245619546,0.003989749662208545,0.04562067955952278,0.0007108316481653235
strat,1,8,0.022254383898394577,0.003539623431863959,0.04716747212871492,0.00278103886604989
strat,2,5,0.02150333812860971,0.0036352926278421568,0.046884388259883725,0.0014129636817917942
strat,2,8,0.020517017693884143,0.003241710492323742,0.04908705710192467,0.0033231711174606937
strat,4,5,0.02178071033680305,0.00390221917064733,0.048586003126219114,0.0005334206767059243
strat,4,8,0.020464222742962817,0.0035143187182435495,0.05024701192500074,0.002276459639820659
strat,8,5,0.023735054525468886,0.0037573080628348194,0.04977812356254778,0.0005547159476819239
strat,8,8,0.022398776052454862,0.003338870107369771,0.05144644394709739,0.0020324599258010013
plain,1,5,0.007187991393773867,0.0047262427264582844,0.04010075954491267,-0.0012222645480709394
plain,1,8,0.005885538651447486,0.004292828481696928,0.04029042574698154,-0.0007385331109462129
plain,2,5,0.006335874610395695,0.004595842209352755,0.04253885463371848,-0.001976857692453226
plain,2,8,0.005158041736990861,0.004178599372223831,0.043608386741748606,-0.00011905621019970975
plain,4,5,0.004752761958446395,0.003922215429886857,0.041156042910660495,-0.0016375598583341494
plain,4,8,0.0035666447711834573,0.0036258968322433194,0.04265542673873192,0.00026550964535456
plain,8,5,0.00413430151392363,0.003956563686443172,0.04259940370466987,-0.0002001589640727174
plain,8,8,0.003053953498352604,0.0036556085969710133,0.04372631480391251,0.0010048897694477665
