v_cat,v_med,v_rar,v_off,v_shame,v_n
How old were you when you first experienced sexual interest ,15.5,1.675978048444958,0.06298853385999337,0.688728024819028,2901
How old were you when you first experienced interest in spec,13.5,0.830750582172063,-1.6638450972272611,0.42901554404145076,6755
How old were you when you first experienced sexual interest ,15.5,0.5778254770588214,0.41789696077201377,0.491780664444189,8699
How old were you when you first experienced interest in clot,13.5,0.6495399308802479,-1.6052802048202786,0.4893170309991355,8097
How old were you when you first experienced interest in eage,15.5,0.28727363279306156,0.5117994845848788,0.4604539202200825,11632
How old were you when you first experienced sexual interest ,15.5,0.8357966005963963,0.33452409617280665,0.5148043445915786,6721
How old were you when you first experienced interest in gend,15.5,1.7359996118756815,0.043590356217784176,1.0446559297218154,2732
How old were you when you first experienced sexual interest ,15.5,0.917129631029603,0.30823833348447494,0.605067785668173,6196
How old were you when you first experienced interest in gent,15.5,0.5720941454600976,0.4197492515509236,0.42439135901245856,8749
How old were you when you first experienced interest in ince,15.5,1.8663984969789025,0.0014471564576190588,0.9699749791492911,2398
How old were you when you first experienced sexual interest ,15.5,1.0417549371503354,0.26796107830042715,0.7870201096892139,5470
How old were you when you first experienced sexual interest ,15.5,0.5730089539858743,0.41945359750132205,0.5346070243679213,8741
How old were you when you first experienced sexual interest ,15.5,1.4227504030808782,0.14482836887796324,0.7843189724377844,3737
How old were you when you first experienced sexual interest ,15.5,1.614806097883142,0.0827585014498613,0.566147859922179,3084
How old were you when you first experienced sexual interest ,15.5,0.8700009034616624,0.3234697166267928,0.5284064665127021,6495
How old were you when you first experienced interest in preg,17.5,1.6170784572443202,2.082024104875771,0.7559311017224569,3077
How old were you when you first experienced interest in sens,17.5,1.6842854690148141,2.0603036851031202,0.5908932916232186,2877
How old were you when you first experienced interest in scen,15.5,0.6196106896642877,0.4043925311869039,0.5004195133644972,8343
How old were you when you first experienced interest in tran,15.5,2.190602675225875,-0.10333135783816871,0.9775086505190311,1734
How old were you when you first experienced interest in abno,15.5,2.208055125177101,-0.10897175947209803,0.8755868544600939,1704
How old were you when you first experienced interest in age-,15.5,1.3200962490207948,0.17800483750605345,0.7121468244385414,4141
How old were you when you first experienced interest in brut,15.5,2.9529899155078705,-0.3497248583375967,0.7898640296662547,809
How old were you when you first experienced interest in humi,15.5,1.5102240953047295,0.11655802529158343,1.0035046728971964,3424
How old were you when you first experienced sexual interest ,15.5,1.6650077635889111,0.06653398523213028,0.8591885441527446,2933
How old were you when you first experienced interest in vore,15.5,3.4104642075268545,-0.49757451562902943,0.75390625,512
How old were you when you first experienced interest in best,15.5,2.4649181175039097,-0.19198649067975815,1.1206373292867982,1318
How old were you when you first experienced sexual interest ,15.5,1.108074446108779,0.24652748773084987,0.46727876538386404,5119
How old were you when you first experienced interest in cree,15.5,3.198318410422186,-0.42901179211659723,0.8515007898894155,633
How old were you when you first experienced interest in dirt,15.5,3.649852270619679,-0.5749415801950661,1.1538461538461537,403
How old were you when you first experienced interest in your,13.5,0.43525356969366025,-1.536025679229688,0.3696172248803828,10032
At what age did you begin watching porn or reading erotic co,13.5,0.11448267606115183,-1.4323567572377502,0.4667293504990597,13826
