q,v
a  c3⁻->实践,-0.027280967395343667
b  实践->能不能改,-0.030674234191181995
c  总,-0.034698380801599364
c' 直接(控实践),-0.03553520358444604
a·b 间接,0.000836822782846772
"间接的置换阈(4,000)",0.0007106303963028955
间接自助 2.5%,0.00021874655989338314
间接自助 97.5%,0.0017173948980737143
