v_cell,v_obs,v_dev,v_n
S0E0,-0.03973941368078176,0.005732772144770644,1535
S0E1,0.16827586206896553,0.003967722360399023,1450
S0E2,0.3271812080536913,-0.009538170621519793,1192
S1E0,0.3683492496589359,-0.0018417025087502092,1466
S1E1,0.5533910533910534,-0.026580224310751577,1386
S1E2,0.7809667673716012,0.028584250703151626,1324
S2E0,0.6412671232876712,-0.003728745752370699,1168
S2E1,0.8775510204081632,0.022774825834002477,1323
S2E2,1.0083036773428233,-0.018883756197981993,1686
