frac,r_gl,v_a,v_b,mde,n_read,cover,a_spread,b_spread
0.1,0.67221651853987,0.04302344772902605,0.031727017586619895,0.045880129700883183,1825,0.5434782608695652,0.024094749480266166,0.013916466753761084
0.25,0.7327043376249844,0.057888524890686674,0.027621306803348483,0.03679818542368434,2837,0.8448481238832638,0.01597147467795339,0.009888495546106464
0.5,0.8039830608709428,0.030065125314987333,0.03766939622174216,0.03455656299468446,3217,0.9580107206670637,0.004107167754506752,0.0006563471299987113
1.0,0.8864795055168582,0.041428506348517,0.014706480586154728,0.03420744441976546,3283,0.9776652769505658,0.009923952105665962,0.009005787242594336
