split,rel_gap,max_angle,min_angle,r_vec
9,0.3521842125706114,82.21851160794772,12.60624716085293,0.12431835887506404
10,0.23995360190349527,61.59834023284268,13.189540013999634,0.476879357358336
14,0.28987214866739064,38.374275700267894,11.314478094811738,0.7816328254899345
5,0.29997834640163495,36.28895531398326,16.044754182012355,0.7956717432588714
3,0.21718267649180853,32.85888521970179,13.85449664267835,0.8367066784726129
19,0.27636726005585216,29.226864507411513,15.046090015911055,0.8702796890378656
11,0.27322785550416556,25.88021085365157,21.61341722205995,0.90549152119331
13,0.21318140094368676,25.51132565915562,12.177655369862126,0.9149296286185513
6,0.22274067476929046,24.30331145369408,13.576952668863388,0.9164346160523794
4,0.27840578697149776,21.931093193494625,10.869182297077042,0.9283219325284823
18,0.19161331055404515,22.81800677895008,12.714532935434866,0.9303910709556562
7,0.29701939260994825,18.278452815183922,10.423427824121992,0.9440715687409839
15,0.2802948072794205,15.8587312831002,14.344850685381447,0.9578436976819468
2,0.2899370584635189,17.2660169793005,13.590758723025393,0.961380614325076
12,0.2836624937748606,14.852000995138113,10.494464507179648,0.9617106534191758
8,0.16999206077284496,16.04886429150415,11.428376810445306,0.9646857549856492
1,0.2640458838810317,16.503841707908496,11.787522739489644,0.965054445247064
17,0.2838842441949079,33.87986274826602,11.184157577002377,0.9676241186310698
16,0.29451439985104916,15.760831682858429,9.292827099334612,0.9722963630111752
0,0.26489467041295495,15.286416870657018,10.709409626698681,0.9747703765731028
