null,value,null_sd,net,frac
A 题内跨人,0.0021854632835107716,0.001584350543765697,-0.03500262864016451,0.06659512665884973
B 人内打乱,0.003984714061466206,0.006169056153796107,-0.03680187941811995,0.12142164072249151
C curveball 固定边际,-0.02474711706999812,0.0023547560178521854,-0.008070048286655623,0.754090635222417
