component,anchorable,best,best_anchor,r_性行为计数,r_恋物类别数,r_性伴数分档,r_块覆盖数,r_总勾选项数,r_起始类别数
c1,True,0.22721070197721738,总勾选项数,0.027657531163917032,-0.13068224753313393,0.031120646078290327,-0.21268949868826478,-0.22721070197721738,-0.1831279923723307
c2,True,0.3763770098509979,性行为计数,-0.3763770098509979,0.00953033808780298,-0.08018782626540047,-0.043770044669507235,-0.06706694908380406,-0.0020760244156313792
c3,True,0.459997664952553,性行为计数,0.459997664952553,-0.03735290613597917,0.1784172331633054,-0.015091524083539061,-0.016933063452603498,-0.05036215834022869
