v_arm,v_b,v_t
原样,-0.03949590261590839,-3.3573491584008677
秩,-0.035136569138813085,-2.9985110781002784
probit,-0.035623881828774184,-3.0375605342362655
未顶格,-0.053215838469737944,-4.097179488314884
