v_rank,eig,null_max_thr
1,1.9941385082618026,0.2747206006282527
2,1.6808024257639462,0.2747206006282527
3,1.3276674858095114,0.2747206006282527
4,0.9774936469276664,0.2747206006282527
5,0.9009709631170736,0.2747206006282527
6,0.8214201489293069,0.2747206006282527
7,0.7971949306520186,0.2747206006282527
8,0.7055166735803476,0.2747206006282527
9,0.6359041547728106,0.2747206006282527
10,0.6109532323303066,0.2747206006282527
11,0.531725734486453,0.2747206006282527
12,0.5026275350365935,0.2747206006282527
13,0.47314934089622396,0.2747206006282527
14,0.4412984371047081,0.2747206006282527
15,0.41972379128685167,0.2747206006282527
16,0.38760810423542724,0.2747206006282527
17,0.3441902478737931,0.2747206006282527
18,0.3115519667124566,0.2747206006282527
19,0.28698266317834886,0.2747206006282527
20,0.2750980046557578,0.2747206006282527
21,0.22928722414649683,0.2747206006282527
22,0.18907351277939702,0.2747206006282527
23,0.17063545893148174,0.2747206006282527
24,0.1361193929448054,0.2747206006282527
25,0.11576741596737031,0.2747206006282527
26,0.09746246316020432,0.2747206006282527
27,0.06881518386344238,0.2747206006282527
28,0.00814085170511637,0.2747206006282527
29,-0.03762229404842096,0.2747206006282527
30,-0.0540881399189247,0.2747206006282527
31,-0.08290765183673686,0.2747206006282527
32,-0.6540725120597499,0.2747206006282527
