seed,world,n,p50,p75,p90,p95,p99
1,real,9175,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
1,cb,9175,0.7005478589215319,0.7811903699001217,0.8543489206253235,0.9000094997939275,0.9914669464867145
1,f0.0c0.25,9175,0.7005478589215319,0.7811903699001217,0.8543489206253235,0.9000094997939275,0.9914669464867145
1,f0.0c0.5,9175,0.7005478589215319,0.7811903699001217,0.8543489206253235,0.9000094997939275,0.9914669464867145
1,f0.0c1.0,9175,0.7005478589215319,0.7811903699001217,0.8543489206253235,0.9000094997939275,0.9914669464867145
1,f0.1c0.25,9175,0.7083573514994687,0.7925673497564982,0.8712521092497334,0.9156738327649556,1.0138218102850396
1,f0.1c0.5,9175,0.7140798092282667,0.8028916718016295,0.8921699534641772,0.9532766420401929,1.088671749844465
1,f0.1c1.0,9175,0.7170977670395363,0.81323861884518,0.961745201059012,1.0843954797799256,1.2821083638636304
1,f0.15c0.25,9175,0.7131381430412681,0.7977602987348109,0.8776339844821301,0.9262078509682756,1.0334372090002286
1,f0.15c0.5,9175,0.7201922471921938,0.8143840252362595,0.9127861421110993,0.9763061578576556,1.116941941784076
1,f0.15c1.0,9175,0.7254170567797286,0.8381041879487047,1.0412089246178848,1.132591048294777,1.3440943328521102
1,f0.22c0.25,9175,0.7191972789012028,0.8062838827259842,0.8888516303426582,0.9369617103217662,1.049047511571537
1,f0.22c0.5,9175,0.7327906442557484,0.8365646490537899,0.9427883657773918,1.0077040385187486,1.1634735019135733
1,f0.22c1.0,9175,0.7413167851283814,0.8972619552488812,1.0939700360727835,1.1774937617353256,1.3774215553159628
1,f0.32c0.25,9175,0.7283726451687867,0.8188076981680259,0.9034524813906818,0.9549960815116305,1.0670299874033016
1,f0.32c0.5,9175,0.7521448456193578,0.8652192302477852,0.9725257376449511,1.0357380661847855,1.1789437097479332
1,f0.32c1.0,9175,0.774551849614058,1.0045299395352072,1.1417938057562367,1.226541664681852,1.4417834436156596
1,f0.45c0.25,9175,0.7410216743698769,0.8322557053693415,0.9188955427182386,0.9723442010207053,1.088906800935093
1,f0.45c0.5,9175,0.7811567493311968,0.9013710495329144,1.0023935589613,1.067243487867001,1.228119076908167
1,f0.45c1.0,9175,0.8467499821882075,1.0700333570467397,1.1801739257767279,1.2729650098542284,1.4972414915260155
2,real,9175,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
2,cb,9175,0.6992871747794605,0.7820203700912942,0.8529372276658208,0.8971382134995993,0.9860986945312064
2,f0.0c0.25,9175,0.6992871747794605,0.7820203700912942,0.8529372276658208,0.8971382134995993,0.9860986945312064
2,f0.0c0.5,9175,0.6992871747794605,0.7820203700912942,0.8529372276658208,0.8971382134995993,0.9860986945312064
2,f0.0c1.0,9175,0.6992871747794605,0.7820203700912942,0.8529372276658208,0.8971382134995993,0.9860986945312064
2,f0.1c0.25,9175,0.7081558634965299,0.7936066600550329,0.8721318717964497,0.9204906769699194,1.022292355877768
2,f0.1c0.5,9175,0.7137484092813636,0.8041712795561942,0.8970894718724297,0.9589671650973356,1.115958799921696
2,f0.1c1.0,9175,0.7170450469824429,0.8164206695593177,0.9709852111993175,1.0991324098816884,1.3125260154496454
