variable,clears,best,best_anchor
openness,False,0.0753819809184828,性伴数分档
consciensiousness,False,0.06890109751289995,性伴数分档
neuroticism,False,0.051908864459435024,pornhabit
agreeableness,False,0.03089870612750116,pornhabit
