band,n,ncat,delta,d_boot,z,z_boot
0,1238,8.0,-0.1782643428921875,0.009617997351667558,-0.4685085932453638,0.02682944498898099
1,2361,9.482422702244811,-0.2055287242686478,0.008411152363229616,-0.5343407931244092,0.019686446042835093
2,1977,11.46788062721295,-0.24075857840481035,0.01089588438493094,-0.5789987382826898,0.021516433300446274
3,1982,13.865287588294652,-0.25075355679101113,0.00946899952945564,-0.565549392769651,0.020700850468824514
4,2090,19.157894736842106,-0.2791748221877086,0.010904313354888113,-0.5809092910594834,0.021585781243110825
