seed,a,b,tier,cca,null
2,4,67,tier4 all other pairs,0.3310154162905734,0.07009020445581914
2,4,77,tier4 all other pairs,0.31966487716965236,0.0739179197658986
2,4,79,tier4 all other pairs,0.32299083491791003,0.04184260127116918
2,4,83,tier3 fluid<->non-fluid,0.3280542185894972,0.07770570974221122
2,4,85,tier4 all other pairs,0.27992881703652445,0.05741220674647234
2,4,90,tier4 all other pairs,0.19126237211754554,0.063552377950342
2,4,92,tier4 all other pairs,0.29979590992072247,0.06268782452758077
2,4,93,tier4 all other pairs,0.18489341713493004,0.04036891854856945
2,4,96,tier4 all other pairs,0.29926006524407234,0.056646940856414855
2,7,8,tier2 within fluid family,0.5406573074831346,0.052911098997797536
2,7,9,tier2 within fluid family,0.6296871797147601,0.06410648865256527
2,7,11,tier2 within fluid family,0.48331498865986466,0.12755034661941342
2,7,13,tier3 fluid<->non-fluid,0.11554156347936338,0.08573028378470339
2,7,29,tier3 fluid<->non-fluid,0.4846154814989713,0.08470465697828214
2,7,55,tier3 fluid<->non-fluid,0.13704637812908885,0.08369429561909407
2,7,62,tier3 fluid<->non-fluid,0.18168881158937,0.0361100799892624
2,7,67,tier3 fluid<->non-fluid,0.3379642359275787,0.041332538021304314
2,7,79,tier3 fluid<->non-fluid,0.3261393660800736,0.03675747170626682
2,7,83,tier1 precum<->ejaculate,0.8557805112099063,0.06596172148914901
2,8,9,tier2 within fluid family,0.4698470865468086,0.062048556108246174
2,8,11,tier2 within fluid family,0.528963486979443,0.05441926389803045
2,8,13,tier3 fluid<->non-fluid,0.1756072964849832,0.03556456853020701
2,8,29,tier3 fluid<->non-fluid,0.24367242837434627,0.04335164197116301
2,8,55,tier3 fluid<->non-fluid,0.11465930897247173,0.02631146306499911
2,8,62,tier3 fluid<->non-fluid,0.16382869862365743,0.08474819843724361
2,8,63,tier3 fluid<->non-fluid,0.16563988790814949,0.07200836066531455
2,8,67,tier3 fluid<->non-fluid,0.07127848706320455,0.040432243784342646
2,8,77,tier3 fluid<->non-fluid,0.11957052698470798,0.023389382144648484
2,8,79,tier3 fluid<->non-fluid,0.18357824264770203,0.032744911509491846
2,8,83,tier2 within fluid family,0.5211074746328987,0.0627074931561663
2,9,11,tier2 within fluid family,0.4847232344967218,0.05544462843945209
2,9,13,tier3 fluid<->non-fluid,0.17966963165294872,0.03866513869746717
2,9,19,tier3 fluid<->non-fluid,0.4337035224002692,0.06296256566896652
2,9,20,tier3 fluid<->non-fluid,0.12507373324872065,0.05549073437839157
2,9,29,tier3 fluid<->non-fluid,0.5292902127583562,0.102910625004005
2,9,36,tier3 fluid<->non-fluid,0.16789970489014264,0.05943186049721482
2,9,48,tier3 fluid<->non-fluid,0.12456371728508062,0.04209710585181269
2,9,53,tier3 fluid<->non-fluid,0.2963248336376819,0.06238759579737615
2,9,55,tier3 fluid<->non-fluid,0.1332778242562521,0.03945619804757449
2,9,62,tier3 fluid<->non-fluid,0.2539202554374941,0.12211897613454273
2,9,63,tier3 fluid<->non-fluid,0.1474756016933948,0.0567366994846997
2,9,67,tier3 fluid<->non-fluid,0.3115095669630919,0.02281567196787276
2,9,77,tier3 fluid<->non-fluid,0.34438503985000846,0.0657926803172918
2,9,79,tier3 fluid<->non-fluid,0.37383165805698093,0.06871543496150824
