noise_0.3,noise_0.5,noise_0.7
0.4091825651188109,0.42376042779566664,0.47684487929094416
0.44425213524189455,0.44799837375170426,0.4524428535269458
0.430534225011081,0.4098531857979034,0.3788763335397265
0.4456344361568348,0.42026902643677577,0.4022265031865555
0.49176834622660903,0.47847781792248995,0.4499580832349183
0.46969797448833944,0.4053818994862106,0.34678321997012856
0.49274659471741716,0.4499515311790299,0.4771829030110436
0.44544155101670724,0.4620634885906979,0.45222833228459325
0.439672671395382,0.4317382341512526,0.40777919641703775
0.4963948783510352,0.4492139150448662,0.43907776294672624
0.4579980561082023,0.3959005938786999,0.36543020083619243
0.43346744436126183,0.4148708447571663,0.4014374164955471
0.40461354278856276,0.4257747866067627,0.4540506420490634
0.48935154692990757,0.44960892644455164,0.4116740831797007
0.48566329341828196,0.4263322488779565,0.40800308983814915
0.5097472995344565,0.51591144704866,0.47612096025809075
0.5676998567962765,0.5924050580312092,0.6093372990999878
0.4810193917685083,0.45479957982715863,0.5150321004285429
0.45109640754445596,0.42439869056228346,0.3987989918970874
0.41314098828506995,0.3894970077816713,0.3955455060799599
0.42441864505791155,0.42418440519318007,0.42464999884132754
0.45429061684883143,0.4456212248561642,0.41412006123215306
0.42260287766594873,0.38527185742521175,0.4146544804584246
0.4013961531547422,0.3837244604897949,0.3874163633721003
0.4384341934023668,0.4601715363316435,0.5153379845135567
0.40858861421219944,0.4361231399291484,0.44270774067643476
0.4448691200099431,0.4125037385977033,0.3671249974959054
0.40076922064633314,0.4457054491262773,0.41923974131525826
0.4578651673486574,0.4984607322124012,0.4393644998447531
0.4396234362206553,0.43598375634980224,0.4068582912748591
0.42612610634833586,0.4617744789481118,0.48043750950498454
0.4830555443920061,0.4673546740195366,0.45861098156235675
0.45972729753642766,0.4691931786847529,0.45421978889948295
0.5006268952902116,0.4582139119522803,0.41022860993143256
0.48519512989473856,0.44742764506438376,0.4417544579799695
0.40151586233105874,0.3823602393517376,0.3939479169342466
0.4043183025915053,0.37529257961037055,0.4284008211559083
0.44365878353682925,0.38927575556505706,0.37949186211440056
0.5145960946068858,0.45315620022378283,0.42761309858557145
0.4844523004710454,0.485077176542789,0.4570426428387694
0.40574213194268055,0.42782628771037834,0.41823786812616887
0.382099815032686,0.3792133897381516,0.4514329607459475
0.4588409276507872,0.42278051015905577,0.37197562300099385
0.42711049264936746,0.42439354684996144,0.46637536706931326
0.5029460442097777,0.4695756189959561,0.44700840580664464
0.4314543816891492,0.4398438374287421,0.3975899979220185
0.41208126130054734,0.423831350018018,0.4377171625830804
0.5135412708117659,0.46872345671577537,0.4421219352176928
0.46098840326291063,0.4628821728969938,0.5024747479459579
0.5320174048358924,0.4718219416485816,0.4507768124488291
0.45749119607127375,0.396441725804702,0.3865863133774387
0.42384415877619414,0.44887179014550516,0.45649791211269913
0.41123005935287527,0.39509445270310595,0.41370259303534096
0.5131915164364511,0.49430383211282425,0.45272429666861774
0.44151540328124383,0.43842515921574793,0.4115229271613514
0.38738875835348563,0.4399822366850307,0.43014553371615216
0.4633996315192842,0.4525709818185978,0.43820610597988574
0.4410329174319009,0.43222961169520013,0.4266709410945441
0.4091766909786233,0.421555427336962,0.461097727058737
0.4070267488123832,0.4217419869726825,0.44072591075626955
0.4199879725316786,0.4088817624605977,0.4011660039546519
0.4849193257640164,0.4454556974621863,0.4073451791963273
0.4148226142651772,0.4572084683404962,0.5144977704043749
0.47636099769268175,0.44691041275879556,0.41964770866516243
0.4885635291841445,0.4469322675129677,0.37135547652633316
0.4633090357328329,0.439583587065996,0.3931239306986216
0.43304399394063575,0.4110924713567854,0.38001664529923385
0.510005251441877,0.48211830719653087,0.3994496909794331
0.43711051831322656,0.4102386754016443,0.38914664072930594
0.4742186354698753,0.4414351894128125,0.4204399520249225
0.4491537077231674,0.44932328276312483,0.45749871299180406
0.3916699049410007,0.38431668426470866,0.4244466582822656
0.4810201486076263,0.45161445311500986,0.4440730130067328
0.4720019972598942,0.5095524181904048,0.5339175910704029
0.43743842470622807,0.42881743059489486,0.3953368266607783
0.3941591115479107,0.42149331175540306,0.4132962483322402
0.4319427094333911,0.46227845651567223,0.4866981614255061
0.5325798180198973,0.5077333632405916,0.4869421480264927
