fix,male_female,male_neutral,female_neutral,n,null
ALL (as R21),0.06321914213558695,0.4790323523873239,0.295885166441982,1457,0.004165336264566526
men only,0.23322042113223762,0.5060185241044431,0.39300228055348824,769,0.01095225735484143
women only,0.09705410717102861,0.3498660522415364,0.21772443675995232,688,-0.014176014942989
no produce act,-0.2036703645401693,0.48355458594152956,0.1836247364043665,1457,0.0004311129721645453
men only + no produce,0.08185164021923101,0.5275090974357584,0.3354484482375527,769,-0.0012644304703403636
