seed,global_,oracle,prevalence,neighbour,random_neighbour
1,66.56,66.16,59.895,67.445,67.035
2,66.49,67.11,60.18,67.61,67.03
3,66.55,66.48,60.46,66.93,66.595
4,67.24,66.965,61.09,67.975,66.15
5,66.775,67.29,60.76,67.1,66.67
