block,baseline,seed,gain,null_gain
93,propensity+coverage_pcs,14,0.06450292072791974,-0.002457032370919321
93,propensity+coverage_pcs,24,0.06681614002226799,-0.004526107837534488
93,propensity+full_coverage,4,0.05548720090150583,-0.0023450584059198087
93,propensity+full_coverage,14,0.05472564955355974,-0.002351935097048563
93,propensity+full_coverage,24,0.055205703416796426,-0.005228734318786898
96,propensity,4,0.03304380391711881,-0.006213991958025078
96,propensity,14,0.033309157127571654,-0.0026660964057625414
96,propensity,24,0.032271751499008516,-0.002763832822907819
96,propensity+n_blocks,4,0.028017170974119265,-0.006185198372433143
96,propensity+n_blocks,14,0.0275995764841529,-0.002735275196822373
96,propensity+n_blocks,24,0.02749061529574104,-0.0027867463172411844
96,propensity+coverage_pcs,4,0.02131090137796987,-0.005775242164576144
96,propensity+coverage_pcs,14,0.02192754275913078,-0.0025544908096458707
96,propensity+coverage_pcs,24,0.020352137580284868,-0.0023787035386014788
96,propensity+full_coverage,4,0.015631896701329584,-0.005811279804690872
96,propensity+full_coverage,14,0.01571205812417298,-0.002768902406200202
96,propensity+full_coverage,24,0.012678115099283738,-0.0029369852993882395
