arm,cat,n,diff,early,late,dy,dc
abs_all,0,2538,0.05514669097466264,0.0315881888833176,-0.02355850209134504,0.0,0.007021629441445243
cent_all,0,2634,0.04428204840611018,0.018101331326763576,-0.026180717079346605,0.13059984813971104,0.0002946542911862471
abs_low,0,930,0.04657397014334764,-0.06010281081069583,-0.10667678095404347,0.0,0.011972396084095727
abs_high,0,1640,0.0371688306924652,-0.002567047125900649,-0.03973587781836585,0.0,0.006916636330542403
shuf_abs,0,2742,0.025646709518161857,0.005362362349696763,-0.020284347168465094,0.0,0.005769837900214458
shuf_cent,0,2738,0.01713568185164388,0.005420655358572095,-0.011715026493071786,-0.05478451424397379,0.0011883606074811759
plant_abs,0,2540,0.07832804611544358,0.0680706470501975,-0.010257399065246087,0.01821256356927936,0.007827006698789551
plant_cent,0,2634,0.08699038127371692,0.060809664194370304,-0.026180717079346605,0.1389520032124425,0.0002946542911862471
abs_all,1,2422,-0.027325143509952923,0.10230969427687243,0.12963483778682536,0.0,-0.0124973809729223
cent_all,1,2432,0.002158611053207929,0.11884434538267774,0.11668573432946981,0.013157894736842035,-0.002577572663000738
abs_low,1,1594,0.06966286724357426,0.111487784743951,0.041824917500376736,0.0,-0.014007752954175112
abs_high,1,852,0.0115145706583412,-0.028538882446991504,-0.040053453105332704,0.0,-0.012192558335085035
shuf_abs,1,2482,0.027858402087960768,0.1394036856106077,0.11154528352264693,0.0,0.0048708913129758
shuf_cent,1,2478,0.009335530724849009,0.12420729846368994,0.11487176773884093,-0.04842615012106544,0.001313047354028929
plant_abs,1,2424,0.07069377106646617,0.1927037136262156,0.12200994255974944,-0.02388097897161945,-0.016021378257228713
plant_cent,1,2432,0.07609002003167263,0.19277575436114244,0.11668573432946981,0.024452025626934493,-0.002577572663000738
abs_all,3,6520,-0.0031322800494611377,0.059538042434314174,0.06267032248377531,0.0,0.00020144675396027711
cent_all,3,6966,0.0006942576810697321,0.06638963022453893,0.0656953725434692,0.22825150732127497,0.0006170696903080586
abs_low,3,1594,-0.027215855826497885,-0.05842527396599081,-0.031209418139492923,0.0,-0.006254798779003368
abs_high,3,5240,0.020663567709476513,0.0355646436124348,0.014901075902958286,0.0,0.0028369602369829883
shuf_abs,3,7268,-0.0007915856963151002,0.07102822137531829,0.07181980707163339,0.0,0.0016633946393512788
shuf_cent,3,7202,-0.004827420729879364,0.06417484138939393,0.0690022621192733,0.0027770063871148665,-0.00018237056870595847
plant_abs,3,6544,0.059991853838832744,0.11942687604384872,0.059435022205015973,0.02652761699268469,0.0016330328796116955
plant_cent,3,6966,0.08102042538945588,0.14671579793292508,0.0656953725434692,0.2363704310709025,0.0006170696903080586
abs_all,4,9600,0.008442768300676286,0.055190340606409316,0.04674757230573303,0.0,-0.01054104477611928
cent_all,4,10258,0.009681099430165437,0.06441161409309663,0.0547305146629312,0.19146032364983423,-0.0008351690562590219
abs_low,4,1190,0.007381794482350691,-0.04643760448551537,-0.05381939896786606,0.0,-0.011564028596513287
abs_high,4,8500,0.02996563757090319,0.04388799437295856,0.013922356802055372,0.0,-0.009597892888498771
shuf_abs,4,10210,-0.00717247179211087,0.056780670984000935,0.0639531427761118,0.0,0.001964711213764736
shuf_cent,4,10202,-0.002753565655498766,0.06141524731546533,0.06416881297096409,-0.03469907861203669,0.0007285665380215578
plant_abs,4,9536,0.08141662524009538,0.1314497175030637,0.050033092262968315,0.013697177435489483,-0.010452143644195333
plant_cent,4,10258,0.09192516863705996,0.14665568329999115,0.0547305146629312,0.20186855022556882,-0.0008351690562590219
abs_all,6,2396,0.025503820751005227,0.037435466269121954,0.011931645518116726,0.0,0.004123788403558315
