k,n_left,delta,sd,ratio
0,29,-0.2060601416238642,0.016079815510329238,6.4074162259976415
2,27,-0.20846690758000674,0.02035098851033102,5.121788248128098
4,25,-0.15682329842504716,0.00848308840441503,9.243290353041019
6,23,-0.1512661295858726,0.022508322014913568,3.360226708273648
8,21,-0.09662079277895164,0.06670779972167966,0.7242091118435617
10,19,-0.13754912353097537,0.023758611926370462,2.894721374237884
12,17,-0.13296167737862763,0.019956670378231612,3.3312590441855447
