thresh,arm,a,b,n,v_shift,na,nb
n>=400,real,17,20,1818,0.01923023046783191,scenarios involving sex toys iob ewb,age related sexual interests pmk
n>=400,real,17,26,2032,0.02452339483691359,scenarios involving sex toys iob ewb,sadomasochism zh c k
n>=400,real,17,29,4415,0.007583067016910993,scenarios involving sex toys iob ewb,your appearance based sexual interests qqg a
n>=400,real,18,29,856,0.02595488837084769,transformation related sexual interests ju swdc,your appearance based sexual interests qqg a
n>=400,real,20,26,1213,0.030625711658129974,age related sexual interests pmk,sadomasochism zh c k
n>=400,real,20,29,1911,0.06742683403484394,age related sexual interests pmk,your appearance based sexual interests qqg a
n>=400,real,26,29,2798,0.015219026257866409,sadomasochism zh c k,your appearance based sexual interests qqg a
n>=400,shuf,1,4,3482,0.05225939811168855,specific body parts not including standard sexual body parts like breasts or genitals x a w,eagerness related sexual interests twg prj
n>=400,shuf,1,13,1104,-0.020858658233708034,specific body parts not including standard sexual body parts like breasts or genitals x a w,your preferred object objects vnq jt
n>=400,shuf,1,14,2092,0.027203775143039927,specific body parts not including standard sexual body parts like breasts or genitals x a w,specific roles ce t
n>=400,shuf,1,16,1152,-0.05682955401825942,specific body parts not including standard sexual body parts like breasts or genitals x a w,sensory related sexual interests yg rwaa
n>=400,shuf,1,17,2774,-0.024766715572406558,specific body parts not including standard sexual body parts like breasts or genitals x a w,scenarios involving sex toys iob ewb
n>=400,shuf,1,18,608,-0.03012840229705152,specific body parts not including standard sexual body parts like breasts or genitals x a w,transformation related sexual interests ju swdc
n>=400,shuf,1,20,1391,-0.020531489892776686,specific body parts not including standard sexual body parts like breasts or genitals x a w,age related sexual interests pmk
n>=400,shuf,1,26,1814,-0.014977448408341313,specific body parts not including standard sexual body parts like breasts or genitals x a w,sadomasochism zh c k
n>=400,shuf,1,29,3151,0.03306490558761671,specific body parts not including standard sexual body parts like breasts or genitals x a w,your appearance based sexual interests qqg a
n>=400,shuf,3,6,1343,0.038490286512584425,clothing related sexual interests kl pc,genderplay related sexual interests yixh c
n>=400,shuf,3,8,2822,-0.007555169652693259,clothing related sexual interests kl pc,gentleness related sexual interests j jn rl
n>=400,shuf,3,9,1052,0.09837697197595455,clothing related sexual interests kl pc,incest f vg x
n>=400,shuf,3,10,2127,-0.026797305418631595,clothing related sexual interests kl pc,nonconsent bx o o
n>=400,shuf,3,12,1373,-0.019616389848453833,clothing related sexual interests kl pc,mythical creatures xfj rdq
n>=400,shuf,3,15,1377,0.015739667156044395,clothing related sexual interests kl pc,pregnancy related sexual interests c yvk
n>=400,shuf,3,22,1427,0.05587392337539407,clothing related sexual interests kl pc,humiliation related sexual interests jebtk s
n>=400,shuf,4,13,1499,-0.01815369414355778,eagerness related sexual interests twg prj,your preferred object objects vnq jt
n>=400,shuf,4,14,3107,0.09518897110337993,eagerness related sexual interests twg prj,specific roles ce t
n>=400,shuf,4,16,1444,0.05187430806218673,eagerness related sexual interests twg prj,sensory related sexual interests yg rwaa
n>=400,shuf,4,17,4035,0.002814474755928858,eagerness related sexual interests twg prj,scenarios involving sex toys iob ewb
n>=400,shuf,4,20,2201,-0.03973686654701619,eagerness related sexual interests twg prj,age related sexual interests pmk
n>=400,shuf,4,26,2435,-0.013146604175266556,eagerness related sexual interests twg prj,sadomasochism zh c k
n>=400,shuf,4,29,5414,0.026344848908692386,eagerness related sexual interests twg prj,your appearance based sexual interests qqg a
n>=400,shuf,6,8,1001,0.033797833379364595,genderplay related sexual interests yixh c,gentleness related sexual interests j jn rl
n>=400,shuf,6,9,637,-0.16245945569919004,genderplay related sexual interests yixh c,incest f vg x
n>=400,shuf,6,10,832,0.026227417895151622,genderplay related sexual interests yixh c,nonconsent bx o o
n>=400,shuf,6,12,831,-0.02166672019794742,genderplay related sexual interests yixh c,mythical creatures xfj rdq
n>=400,shuf,6,15,621,0.07782858332707508,genderplay related sexual interests yixh c,pregnancy related sexual interests c yvk
n>=400,shuf,6,22,618,-0.040169713243227836,genderplay related sexual interests yixh c,humiliation related sexual interests jebtk s
n>=400,shuf,8,9,864,0.008629205043806034,gentleness related sexual interests j jn rl,incest f vg x
n>=400,shuf,8,10,1914,-0.0024116870985839184,gentleness related sexual interests j jn rl,nonconsent bx o o
n>=400,shuf,8,12,1551,0.03635721596424024,gentleness related sexual interests j jn rl,mythical creatures xfj rdq
n>=400,shuf,8,15,1275,-0.06469560969232682,gentleness related sexual interests j jn rl,pregnancy related sexual interests c yvk
n>=400,shuf,8,22,1122,-0.08027261602481364,gentleness related sexual interests j jn rl,humiliation related sexual interests jebtk s
n>=400,shuf,9,10,976,0.027093564592905107,incest f vg x,nonconsent bx o o
n>=400,shuf,9,12,702,-0.01950505814680033,incest f vg x,mythical creatures xfj rdq
n>=400,shuf,9,15,674,-0.0551736922228824,incest f vg x,pregnancy related sexual interests c yvk
n>=400,shuf,9,22,587,0.058033327569118984,incest f vg x,humiliation related sexual interests jebtk s
n>=400,shuf,10,12,1240,0.08135359099522776,nonconsent bx o o,mythical creatures xfj rdq
n>=400,shuf,10,15,1006,0.022062773196234505,nonconsent bx o o,pregnancy related sexual interests c yvk
n>=400,shuf,10,22,1142,0.03711069020993954,nonconsent bx o o,humiliation related sexual interests jebtk s
n>=400,shuf,12,15,874,-0.0805920926778099,mythical creatures xfj rdq,pregnancy related sexual interests c yvk
n>=400,shuf,12,22,708,-0.20119090780174073,mythical creatures xfj rdq,humiliation related sexual interests jebtk s
n>=400,shuf,13,14,936,0.025094345161340497,your preferred object objects vnq jt,specific roles ce t
n>=400,shuf,13,16,590,-0.008025275445538927,your preferred object objects vnq jt,sensory related sexual interests yg rwaa
n>=400,shuf,13,17,1354,-0.0021613642226788396,your preferred object objects vnq jt,scenarios involving sex toys iob ewb
n>=400,shuf,13,20,849,-0.06197885668762287,your preferred object objects vnq jt,age related sexual interests pmk
n>=400,shuf,13,26,949,-0.1612435045890273,your preferred object objects vnq jt,sadomasochism zh c k
n>=400,shuf,13,29,1655,0.07908932183259637,your preferred object objects vnq jt,your appearance based sexual interests qqg a
n>=400,shuf,14,16,914,0.001472801887985237,specific roles ce t,sensory related sexual interests yg rwaa
n>=400,shuf,14,17,2308,-0.050077512054439555,specific roles ce t,scenarios involving sex toys iob ewb
n>=400,shuf,14,18,677,-0.017530808090950423,specific roles ce t,transformation related sexual interests ju swdc
n>=400,shuf,14,20,1626,-0.018674697702001856,specific roles ce t,age related sexual interests pmk
n>=400,shuf,14,26,1441,0.012173088317508188,specific roles ce t,sadomasochism zh c k
n>=400,shuf,14,29,3188,-0.026172991558197828,specific roles ce t,your appearance based sexual interests qqg a
n>=400,shuf,15,22,653,0.06730555069868276,pregnancy related sexual interests c yvk,humiliation related sexual interests jebtk s
n>=400,shuf,16,17,1294,-0.04797317159785171,sensory related sexual interests yg rwaa,scenarios involving sex toys iob ewb
n>=400,shuf,16,20,714,-0.0017435648248376513,sensory related sexual interests yg rwaa,age related sexual interests pmk
n>=400,shuf,16,26,808,0.10205267140425633,sensory related sexual interests yg rwaa,sadomasochism zh c k
n>=400,shuf,16,29,1611,-0.07654517627766555,sensory related sexual interests yg rwaa,your appearance based sexual interests qqg a
n>=400,shuf,17,18,735,0.09297750125762164,scenarios involving sex toys iob ewb,transformation related sexual interests ju swdc
n>=400,shuf,17,20,1818,-0.07021142032360311,scenarios involving sex toys iob ewb,age related sexual interests pmk
n>=400,shuf,17,26,2032,0.03493811511485846,scenarios involving sex toys iob ewb,sadomasochism zh c k
n>=400,shuf,17,29,4415,0.029929133730962242,scenarios involving sex toys iob ewb,your appearance based sexual interests qqg a
n>=400,shuf,18,29,856,0.10118282271367568,transformation related sexual interests ju swdc,your appearance based sexual interests qqg a
