seed,world,mean,sd
1,real,1.0276608334201918,0.3004450514362833
1,cb,0.9564983422999865,0.2562705560775911
1,F0.25,0.9736446314769749,0.28765541301126935
1,F0.5,1.0059019889396545,0.30919091274954885
1,F1.0,1.1378788967958422,0.31839344767718913
1,F2.0,1.4516375683455784,0.40127048612541416
1,S2,0.9650074264087146,0.28094518532898494
1,S4,0.9721351765336627,0.3011721006227153
1,S6,0.9741538420125319,0.3101377199220536
1,S10,0.9748112841975582,0.3113029372989842
2,real,1.0276608334201918,0.3004450514362833
2,cb,0.9574634336244404,0.2595097716237009
2,F0.25,0.9750622120754493,0.2893785692637006
2,F0.5,1.0113286885206985,0.31815665479677435
2,F1.0,1.1352764884965385,0.3401141581594579
2,F2.0,1.451050044661053,0.41736636071351096
2,S2,0.967202883014723,0.28608334785532147
2,S4,0.9751956689475768,0.31030750625010106
2,S6,0.976941833321594,0.31760006349933706
2,S10,0.9775026744819187,0.3157362184345216
3,real,1.0276608334201918,0.3004450514362833
3,cb,0.9549209434142512,0.26085820574424257
3,F0.25,0.9677024720205795,0.27776747996505347
3,F0.5,1.0027500691547175,0.3115798166236376
3,F1.0,1.1140457590439463,0.31435982619559644
3,F2.0,1.4000529902424728,0.39032450511890926
3,S2,0.9642765600358214,0.2837479446696751
3,S4,0.9701687771252836,0.30111490356714604
3,S6,0.9708599379771786,0.30407098242201974
3,S10,0.9724128149482791,0.31012481982343726
4,real,1.0276608334201918,0.3004450514362833
4,cb,0.9528073308225729,0.25531740458817925
4,F0.25,0.9694421121539959,0.2845431649253175
4,F0.5,1.0036940250767474,0.3193649920354599
4,F1.0,1.1336478925564915,0.3352593639328776
4,F2.0,1.4551821831056189,0.4242660354504069
4,S2,0.9611898836160685,0.27889767770962204
4,S4,0.9683019147218342,0.3093762227974482
4,S6,0.9698291485931674,0.31440881598690384
4,S10,0.9713430948837739,0.32023709891641405
5,real,1.0276608334201918,0.3004450514362833
5,cb,0.9607796096319864,0.26964320650773116
5,F0.25,0.9753034231297002,0.2857487589571755
5,F0.5,1.0099033224124885,0.3183858015842025
5,F1.0,1.1363332331029974,0.3380941940360401
5,F2.0,1.457101224345341,0.41487038306760365
5,S2,0.9717479573086905,0.29650855876958837
5,S4,0.979361639846895,0.32405379146130053
5,S6,0.9807891341148476,0.329199855979543
5,S10,0.9832131601873028,0.33685570240230295
