k,n,r,sb,sb_null,sb_plant
4,4467,0.033361414564784156,0.0645687251228261,-0.031441057276727837,0.4120867785218596
5,3086,0.018572792757044973,0.03646826793158817,0.10576481979317935,0.43469095406862507
6,1823,0.03167906501159129,0.06141263516137233,-0.0503939262969153,0.5471132369036383
