comp,anchorable,before,after,kept,sig_before,sig,signed
c1,0,0.05198208618684662,0.0523682496871878,1.0074287803485442,True,True,**符号不可用**
c2,1,0.05337870118151422,0.06202065320973674,1.1618988817063114,True,True,+0.0620
c3,1,0.035457998297470816,0.04651331495076961,1.3117862593525862,True,True,+0.0465
