tertile,n,median_picks,rep,sd,null
低羞耻,1121,74,0.46719001271364685,0.012243762776663952,0.0049101907480856
中羞耻,1121,75,0.4610989094374618,0.014745401972207611,-0.0013927846576919122
高羞耻,1121,75,0.47179411668724724,0.01184839663143644,-0.0027347339703306787
