band,age,n,ncat,delta,null,boot
14-17,15.5,1749,12.370774263904035,-0.2258551224741713,-0.006843374377055487,0.010271159711412806
18-20,19.0,1502,12.355398457583547,-0.2273899427999088,-0.00010745775484809194,0.010880073174655374
21-24,22.5,2037,12.60888252148997,-0.2359434513187392,0.004788264756880373,0.009381015963990838
25-28,26.5,2151,12.843253066787824,-0.23800104136617964,-0.002245177060216571,0.008925195218503736
29-32,30.5,2209,12.926516157591855,-0.24141052889520048,-0.0008928304294956544,0.009002477903096119
