cap,keep,d_capped,d_capped_sd,d_uncapped_common,d_uncapped_sd,d_full
14,2806,0.005508310400922445,0.0062217889323985505,-0.14065324429836232,0.006318928711972037,-0.03281716535809084
16,5277,0.0011717485604165086,0.004824822990800811,-0.11356226538453439,0.004165382946468605,-0.03281716535809084
18,7310,-0.003260912791208816,0.0039979402630191075,-0.08056990816923795,0.003922634340536942,-0.03281716535809084
999,9944,-0.03281716535809084,0.003396881934335901,-0.03281716535809084,0.003354865299562932,-0.03281716535809084
