cov,corr,sd,bal,n
块数,-0.03885375523215799,0.0017195559063866738,0.003385434997987779,4463
块数+年龄,-0.04169658268212913,0.0014352913232577131,0.005510363808718566,4401
块数+年龄+勾选数,-0.04605290781154641,0.001842809275027611,0.0016308329966992087,4153
