quantity,r_full,sd_full,n_full,r_cap,sd_cap,n_cap,r_full_inter,r_cap_inter,n_inter
rho_i,0.15321693750803608,0.010017252191809864,9944,-0.07406009597768534,0.018244106981989087,2806,0.0830244633213884,-0.07406009597768534,2806
rate,-0.11870879040907692,0.01086894169396505,9944,0.03612192937674527,0.019004448912039718,2806,-0.05124109983046948,0.03612192937674527,2806
**rate⊥rho**,-0.07242286168070393,0.010146910765950649,9944,0.018495014651936974,0.018632951001609378,2806,-0.03391047097653639,0.018495014651936974,2806
