seed,world,mean,sd
1,real,1.0276608334201918,0.3004450514362833
1,cb,0.9564983422999865,0.2562705560775911
1,F0.25,1.040408221810369,0.3228302409252738
1,F0.5,1.0634647036293585,0.3387757294620117
1,F1.0,1.160262201477792,0.3465322951778173
1,S2,1.0347344068829238,0.3180935261867657
1,S4,1.03859372442808,0.3335016585090608
1,S6,1.0398732595666271,0.33866922373063424
1,S10,1.040325296466636,0.33791219396649086
2,real,1.0276608334201918,0.3004450514362833
2,cb,0.9574634336244404,0.2595097716237009
2,F0.25,1.0401607770559291,0.3225030105668135
2,F0.5,1.0638395573607065,0.34238121447047
2,F1.0,1.1633502158371083,0.35428272834126984
2,S2,1.0366732325774592,0.3190301346457349
2,S4,1.0415807589743136,0.33955824182379946
2,S6,1.042151701553664,0.3469145067044003
2,S10,1.0425276389058917,0.34638238311609393
3,real,1.0276608334201918,0.3004450514362833
3,cb,0.9549209434142512,0.26085820574424257
3,F0.25,1.036830601954951,0.3147184226373969
3,F0.5,1.0620989141948558,0.34174838381820277
3,F1.0,1.1520146429880747,0.3451076567968332
3,S2,1.0344085718541973,0.31665868297168664
3,S4,1.0385433137923674,0.3296114861240971
3,S6,1.039086076777859,0.33108578402999905
3,S10,1.039360464644809,0.33253395416501647
4,real,1.0276608334201918,0.3004450514362833
4,cb,0.9528073308225729,0.25531740458817925
4,F0.25,1.0387426324886846,0.319730013846296
4,F0.5,1.0646356677062436,0.34827051012050797
4,F1.0,1.169889929295805,0.36379667676261707
4,S2,1.0340097386265286,0.3163258630994738
4,S4,1.038091665878908,0.32887054477611577
4,S6,1.0397726361989716,0.34167762377253436
4,S10,1.0409905846052867,0.3420896452751839
5,real,1.0276608334201918,0.3004450514362833
5,cb,0.9607796096319864,0.26964320650773116
5,F0.25,1.0396740297264173,0.3176583840558036
5,F0.5,1.063553172029358,0.34083232832847005
5,F1.0,1.1623841829031967,0.35695873714283033
5,S2,1.0365408449929592,0.31893513478827284
5,S4,1.0407536142018763,0.33801521535727624
5,S6,1.0428244958468469,0.3493510069294175
5,S10,1.042717989558614,0.3501692089249573
