v_cut,inter,se,nmin
中位,0.04273718903961732,0.0890993252934874,1481
三分位,0.05829298649267112,0.13795164291592613,569
四分位,-0.07772719591189614,0.18848884879395036,283
极端五分位,-0.0977818550910583,0.2415846370522458,164
