pair,uncentred,unc_null,unc_sd,centred,cen_null,cen_sd,n
male-female,0.06321914213558695,0.004634095996950241,0.02701918281131594,-0.7247801682725626,-0.5691740881798162,0.018370010070414392,1457
male-neutral,0.4790323523873239,0.0006655006944900507,0.028299381728313037,-0.49562333234613054,-0.580818180926488,0.018591839470759573,1437
female-neutral,0.295885166441982,0.0006089830677431136,0.021423907833221043,-0.32837922672393355,-0.4666903607457546,0.0182475963658724,1829
