rate_median,delta,sd,n,readable
0.5925925925925926,0.08819292527935312,0.011043882462314145,1247,True
0.8275862068965517,0.08140596039028578,0.009595418452856988,1383,True
1.0476190476190477,0.07956990640670153,0.009963958884430883,1129,True
1.25,0.05051714248499836,0.009335078808551273,1257,True
1.5757575757575757,-0.014268532873237975,0.008455181268205943,1366,True
2.0,-0.06429501478670786,0.008587647299957686,1211,True
2.75,-0.15640219755530058,0.007574522138948872,1190,True
5.5,-0.36068793445170444,0.007758877853635958,1161,True
