q,v
观测 max|b|,0.04974698689226106
零A 打乱人 · 95 分位,0.04679800428355636
零A 均值,0.028096325083700573
零B 随机六块划分 · 95 分位,0.07254128218529747
零B 均值,0.04040191341203874
零B 中位,0.03838769133264379
