q,arm,seed,C,W,CW,n_eval
48,shuffled,29,0.007795730727474526,-0.03571403044136667,-0.032090219787133556,1445
48,shuffled,47,-0.0006486802247848145,-0.023457425218331163,-0.02285263446164032,1488
53,raw,11,0.009329083924622728,-0.005606564162483396,-0.006925144191489152,2881
53,raw,29,0.010998486291399323,-0.02347435184222979,-0.022733980692473787,2881
53,raw,47,0.008653297404320526,-0.011479422523974048,-0.013939655909294024,2881
53,holdout,11,0.0069898011169580165,-0.01749789779586597,-0.018201842914075228,1432
53,holdout,29,0.009607998546151353,-0.024091138734696482,-0.024107055168246294,1443
53,holdout,47,0.010848029773325774,-0.00977152999228037,-0.005311037491867565,1459
53,shuffled,11,-0.0013708140946731007,-0.012977887009998468,-0.013260618909080368,1432
53,shuffled,29,-0.001731744254449774,-0.01314892304121218,-0.016424097871331922,1443
53,shuffled,47,0.0009820216882702182,-0.013030475569362876,-0.01311019152574755,1459
55,raw,11,0.009491133439907151,-0.10767795308041783,-0.10143894994618852,5034
55,raw,29,0.0115155715563654,-0.11412241112089072,-0.10500405356006082,5034
55,raw,47,0.009556306139782644,-0.11946702570046941,-0.11250184145245934,5034
55,holdout,11,0.01780697093253547,-0.109363391105047,-0.09768383052420204,2513
55,holdout,29,0.00987926105970549,-0.11940370085554175,-0.11319088049415271,2486
55,holdout,47,0.01093749939244304,-0.1273325512505945,-0.12151308602383326,2589
55,shuffled,11,0.003702835678314309,-0.13830622319278574,-0.135557532081518,2513
55,shuffled,29,0.002218614027182819,-0.11529777970511101,-0.11418026543263182,2486
55,shuffled,47,0.0016674485021059837,-0.148823757437617,-0.1491341034843946,2589
62,raw,11,0.01570888958300798,-0.0694421575658698,-0.06531122655311317,3398
62,raw,29,0.011203376109003349,-0.07160425519240732,-0.06723360864297012,3398
62,raw,47,0.009035592968719475,-0.07034855540838991,-0.06999759088098045,3398
62,holdout,11,0.019999053793322452,-0.0737269237754905,-0.06655476616021383,1633
62,holdout,29,0.01406405835156288,-0.08050312069868182,-0.07807401186376395,1698
62,holdout,47,0.014024304954891709,-0.06988916077556584,-0.06693262130712196,1780
62,shuffled,11,0.0048086477693979335,-0.05776002421122339,-0.05475597928266995,1633
62,shuffled,29,0.00022455995149250896,-0.04939351552345783,-0.04763925491284626,1698
62,shuffled,47,0.0012385339629903402,-0.060967898097773365,-0.05988629162369019,1780
63,raw,11,0.007839103510690948,-0.11811380850290176,-0.11519084912069832,5007
63,raw,29,0.006138521228895244,-0.11065447941313944,-0.10803119099874936,5007
63,raw,47,0.007122821048673567,-0.11933471305515575,-0.11431111834708507,5007
