score,n_mean,n_sd,n_min,n_max,thr,thr_sd,borderline
位置分 S,19.84,0.463033476111609,19,21,0.03769306278252645,0.0025008310628086986,2
跨块对比 D,9.16,1.566652482205291,6,11,0.04569186038352474,0.004596535582426187,5
成分 1,11.16,0.36660605559646725,11,12,0.03804431020009544,0.002637596464584472,3
成分 3,19.76,1.0688311372709909,19,23,0.037756978003115796,0.002985190708495384,5
纯噪声,0.0,0.0,0,0,0.0374385089529251,0.002550887616639968,0
极强(12 个结局之和),23.08,0.5599999999999999,22,24,0.03731898154506554,0.0033016929119210527,2
