cat,rarity,n_people,contrib,contrib_unw
How old were you when you first experienced sexual i,1.675978048444958,2551.0,-0.00028201763022816975,-0.0010993270540920893
How old were you when you first experienced interest,0.830750582172063,5058.0,-0.012437240770863927,-0.024451546505628884
How old were you when you first experienced sexual i,0.5778254770588214,7251.0,0.0028104520836359386,0.0038542456929631466
How old were you when you first experienced interest,0.6495399308802479,6315.0,-0.0024573890404474934,-0.0038695608263198534
How old were you when you first experienced interest,0.28727363279306156,8633.0,-0.011233077100546688,-0.01293892258633572
How old were you when you first experienced sexual i,0.8357966005963963,5699.0,0.006526431128958358,0.011387757702467435
How old were you when you first experienced interest,1.7359996118756815,2480.0,0.0048376219521203525,0.01939730350479225
How old were you when you first experienced sexual i,0.917129631029603,5379.0,0.00039312379734325094,0.0007267564678901817
How old were you when you first experienced interest,0.5720941454600976,6290.0,-0.0014515826298883464,-0.0022948390574896215
How old were you when you first experienced interest,1.8663984969789025,2196.0,0.0012520160100599768,0.0056694204025666715
How old were you when you first experienced sexual i,1.0417549371503354,4963.0,-0.0007787544216564243,-0.0015603332599136576
How old were you when you first experienced sexual i,0.5730089539858743,7318.0,0.0019962002312964265,0.002712519144576614
How old were you when you first experienced sexual i,1.4227504030808782,3390.0,2.7320378060367195e-05,8.013977564374377e-05
How old were you when you first experienced sexual i,1.614806097883142,2856.0,-0.0005306045166651887,-0.0018474549417782339
How old were you when you first experienced sexual i,0.8700009034616624,5496.0,0.0030801552245533774,0.005572973717787261
How old were you when you first experienced interest,1.6170784572443202,2749.0,0.012481044367126307,0.04514787384019789
How old were you when you first experienced interest,1.6842854690148141,2607.0,0.0010233552204350358,0.0039034308830095876
How old were you when you first experienced interest,0.6196106896642877,6973.0,0.005090137312754445,0.007258902256995584
How old were you when you first experienced interest,2.190602675225875,1619.0,0.0012495284634674716,0.00767468254522578
How old were you when you first experienced interest,2.208055125177101,1577.0,-0.001129249494702546,-0.007120644879722332
How old were you when you first experienced interest,1.3200962490207948,3578.0,0.0001784060607064719,0.0004958272408231292
How old were you when you first experienced interest,2.9529899155078705,773.0,-0.0009662933859782715,-0.012430558124408709
How old were you when you first experienced interest,1.5102240953047295,3174.0,0.0026690439113619727,0.008361995165275192
How old were you when you first experienced sexual i,1.6650077635889111,2776.0,-0.001178405748943503,-0.004221205607886957
How old were you when you first experienced interest,3.4104642075268545,469.0,0.0008549827782365966,0.018127822487813895
How old were you when you first experienced interest,2.4649181175039097,1266.0,-0.00012664239661974643,-0.0009947330110479924
How old were you when you first experienced sexual i,1.108074446108779,4666.0,0.004779614822900718,0.010186131547133463
How old were you when you first experienced interest,3.198318410422186,611.0,0.0010656587220401806,0.017343552098146572
How old were you when you first experienced interest,3.649852270619679,367.0,0.0004468031359770687,0.012106295324675671
How old were you when you first experienced interest,0.43525356969366025,7366.0,0.009405332769256135,0.012697071552740023
At what age did you begin watching porn or reading e,0.11448267606115183,9339.0,0.03138794698558214,0.03342132399878239
