v_layer,v_n,v_early,v_b,v_se,v_thr
1,1678,12.5,-0.09884057381915975,0.0243064015415636,0.0458826968535347
2,1674,14.708333333333334,-0.06391305792483351,0.02461133713209656,0.0458826968535347
3,1685,16.653846153846153,-0.04890807041552888,0.024491898319596545,0.0458826968535347
4,1679,19.852941176470587,-0.12246816188297181,0.024461316395806558,0.0458826968535347
