arm,sex,rnd,sd,delta
S,0.6667333105876839,0.8727934522115481,0.016079815510329238,-0.2060601416238642
Nq,0.7001931528653316,0.8594731748258714,0.02096880972825137,-0.1592800219605398
S⊥Nq,0.7375888147764215,0.8953810295483681,0.010761159369452296,-0.1577922147719466
S+Nq,0.71853593776689,0.8791500430749221,0.022773583780363097,-0.1606141053080321
