a8_median,delta,sd,n
13.5,-0.14065324429836232,0.006218966329121808,2806
15.5,-0.08279849086725342,0.007367613287591569,2471
17.5,0.005067410583894964,0.007449441678809463,2033
22.0,0.09446344276075004,0.007885843806631763,2194
28.0,0.12586214313451957,0.018888014345759437,440
